# Official 通用规范汉字 readings from mozillazg/pinyin-data kTGHZ2013
# Frequency copied from the character unigram so alternate readings stay typeable.
chuan	7779	船
chuan	1626	传
chuan	757	喘
chuan	263	串
chuan	229	川
chuan	15	氚
chuan	13	椽
chuan	13	舛
chuan	7	钏
chuan	3	遄
chuang	2970	床
chuang	623	闯
chuang	569	窗
chuang	391	幢
chuang	204	创
chuang	57	疮
chuang	1	噇
chuang	1	怆
chui	5116	吹
chui	214	炊
chui	143	垂
chui	143	锤
chui	131	捶
chui	100	槌
chui	80	倕
chui	80	圌
chui	80	棰
chui	45	陲
chun	2229	蠢
chun	853	纯
chun	446	春
chun	284	唇
chun	130	醇
chun	105	椿
chun	80	淳
chun	80	𬭚
chun	7	蝽
chun	1	䲠
chun	1	堾
chun	1	瑃
chun	1	莼
chun	1	鹑
chuo	1015	戳
chuo	80	啜
chuo	80	惙
chuo	80	绰
chuo	80	踔
chuo	4	辍
chuo	1	逴
chuo	1	龊
ci	7594	此
ci	5433	次
ci	3050	词
ci	1656	刺
ci	1246	兹
ci	506	赐
ci	369	茨
ci	347	佽
ci	195	辞
ci	169	雌
ci	150	差
ci	85	磁
ci	80	伺
ci	80	呲
ci	80	泚
ci	80	玼
ci	80	疵
ci	80	祠
ci	80	茈
ci	80	跐
ci	72	瓷
ci	64	慈
ci	1	糍
ci	1	莿
ci	1	鹚
ci	1	𫚖
cong	82805	从
cong	103	葱
cong	80	囱
cong	80	枞
cong	80	淙
cong	80	熜
cong	44	丛
cong	17	匆
cong	13	聪
cong	2	悰
cong	1	琮
cong	1	璁
cong	1	苁
cong	1	骢
cou	368	凑
cou	1	腠
cou	1	辏
cu	527	粗
cu	289	醋
cu	168	卒
cu	80	促
cu	80	簇
cu	80	蔟
cu	80	蹴
cu	50	徂
cu	3	殂
cu	3	蹙
cu	1	猝
cuan	167	攒
cuan	125	蹿
cuan	109	窜
cuan	41	篡
cuan	2	汆
cuan	1	撺
cuan	1	爨
cuan	1	镩
cui	945	崔
cui	773	催
cui	157	脆
cui	108	翠
cui	94	摧
cui	80	啐
cui	80	毳
cui	80	淬
cui	80	粹
cui	16	瘁
cui	14	萃
cui	10	悴
cui	3	璀
cui	1	榱
cui	1	漼
cui	1	缞
cun	1068	村
cun	590	存
cun	319	寸
cun	56	邨
cun	1	忖
cun	1	皴
cuo	20914	错
cuo	206	搓
cuo	80	厝
cuo	80	嵯
cuo	80	挫
cuo	80	措
cuo	80	撮
cuo	80	脞
cuo	53	锉
cuo	27	矬
cuo	9	磋
cuo	9	蹉
cuo	4	鹾
cuo	2	瑳
cuo	1	棤
cuo	1	痤
cuo	1	莝
da	51894	打
da	51218	大
da	6014	达
da	3515	搭
da	577	哒
da	533	答
da	353	嗒
da	161	妲
da	80	怛
da	80	沓
da	80	溚
da	80	耷
da	80	鿎
da	34	跶
da	15	炟
da	11	笪
da	8	褡
da	2	鞑
da	1	垯
da	1	瘩
da	1	荙
da	1	靼
da	1	𨱏
da	1	𫟼
dai	42790	带
dai	13330	待
dai	12073	呆
dai	6199	戴
dai	997	黛
dai	888	代
dai	800	大
dai	740	袋
dai	451	逮
dai	80	呔
dai	80	怠
dai	80	歹
dai	80	骀
dai	76	绐
dai	71	贷
dai	64	岱
dai	58	傣
dai	10	殆
dai	7	埭
dai	4	迨
dai	1	叇
dai	1	垈
dai	1	玳
dai	1	轪
dan	200270	但
dan	2482	蛋
dan	2085	丹
dan	1514	弹
dan	794	石
dan	314	胆
dan	267	氮
dan	201	淡
dan	142	掸
dan	121	担
dan	111	旦
dan	80	亶
dan	80	儋
dan	80	单
dan	80	澹
